vocab_word,info,english_translation
tengo,,I have
el pelo corto,,short hair
el pelo ni corto ni largo,,medium (length) hair
el pelo largo,,long hair
el pelo liso,,straight hair
el pelo ondulado,,wavy hair
el pelo rizado,,curly hair
el pelo castaño,,brown hair
el pelo negro,,black hair
el pelo pelirrojo,,red hair
el pelo rubio,,fair hair / blond hair
los ojos azules,,blue eyes
los ojos marrones,,brown eyes
los ojos verdes,,green eyes
los ojos negros,,black eyes
pecas,,freckles
tienes,,you have
barba,,beard
bigote,,moustache
gafas,,glasses
llevar,,to wear
llevas,,you wear
soy,,I am
eres,,you are
bajo,,short
de talla mediana,,medium height
alto,,tall
calvo,,bald
delgado,,slim
gordo,,fat
guapo,,good looking
feo,,ugly
joven,,young person
viejo,,old person
gafas,,glasses
