vocab_word,info,english_translation
una camiseta,Parte superior,a t-shirt
una camisa,Parte superior,a shirt
un jersey / un suéter,Parte superior,a sweater / a jumper
una chaqueta,Parte superior,a jacket
un abrigo,Parte superior,a coat
un vestido,Parte superior,a dress
una sudadera,Parte superior,a hoodie / a sweatshirt
una blusa,Parte superior,a blouse
los pantalones,Parte inferior,trousers / pants
los vaqueros / los jeans,Parte inferior,jeans
los pantalones cortos,Parte inferior,shorts
una falda,Parte inferior,a skirt
un chándal,Parte inferior,a tracksuit
los zapatos,Calzado y calcetines,shoes
las zapatillas de deporte,Calzado y calcetines,trainers / sneakers
las botas,Calzado y calcetines,boots
las sandalias,Calzado y calcetines,sandals
los calcetines,Calzado y calcetines,socks
las gafas / las gafas de sol,Accesorios,glasses / sunglasses
un sombrero / una gorra,Accesorios,a hat / a cap
una bufanda,Accesorios,a scarf
un cinturón,Accesorios,a belt
el traje de baño / el bañador,Accesorios,swimsuit / swimming trunks
un reloj,Accesorios,a watch
llevar,Verbos Clave,to wear / to carry
ponerse,Verbos Clave,to put on
vestirse,Verbos Clave,to get dressed
